DISTRITO,REGIÓN,PACTO,ORDEN,NOMBRE,PARTIDO,PARTIDO ASOCIADO,DIPUTADO 2025,SENADOR 2025
22,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,4,MANUELA ROYO,IND,FA,,
22,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,5,MARIO VENEGAS,IND,PDC,,
22,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,1,DANIELA NATALY GONZÁLEZ FARIÑA,PDG,,,
22,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,2,GUIDO ANTONIO DÍAZ VERGARA,PDG,,,
22,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,3,ALEXIS OJEDA ALTAMIRANO,PDG,,,
22,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,4,PATRICIA DEL CARMEN MUÑOZ BELTRÁN,PDG,,,
22,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,5,RAMIRO ADRIÁN RODRÍGUEZ MAUREIRA,PDG,,,
22,REGIÓN DE LA ARAUCANÍA,AMARILLOS,1,MARCELA ROA SUAZO,AMARILLOS,,,
22,REGIÓN DE LA ARAUCANÍA,AMARILLOS,2,FRANCISCA VICTORIA IBARRA LARENAS,AMARILLOS,,,
22,REGIÓN DE LA ARAUCANÍA,AMARILLOS,3,YANIRA CARRASCO ESPINOZA,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,1,TOMAS KAST SOMMERHOFF,EVOPOLI,,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,2,CLAUDIA SALAS MELINAO,IND,EVOPOLI,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,3,MARIA IGNACIA GOMEZ MARTINEZ,IND,DEMOCRATAS,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,4,AXEL GONZALEZ MANQUEIN,IND,DEMOCRATAS,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,5,GENOVEVA SEPULVEDA VENEGAS,UDI,,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,6,GERMAN VERGARA LAGOS,UDI,,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,7,RENE MANUEL GARCIA GARCIA,RN,,,
23,REGIÓN DE LA ARAUCANÍA,CHILE GRANDE Y UNIDO,8,PEDRO DURAN SANHUEZA,RN,,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",1,DANIEL SANDOVAL POBLETE,FREVS,,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",2,MARCELO CARRASCO CARRASCO,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",3,PAMELA ÑANCUPIL MARTIN,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",4,DANIEL HIDALGO VELOSO,FREVS,,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",5,OSCAR ALBORNOZ TORRES,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",6,ANA MARIA NICUL SABARIA,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",7,HECTOR CUMILAF HUENTEMIL,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,"VERDES, REGIONALISTAS Y HUMANISTAS",8,PATRICIA ESCOBAR APABLAZA,IND,FREVS,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,1,STEPHAN SCHUBERT RUBIO,REP,,1.0,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,2,CRISTIAN NEIRA MARTÍNEZ,REP,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,3,CLAUDIA STAMBUK MARDONES,PNL,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,4,CLAUDIA KAREN PICHULMAN CUADRA,PNL,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,5,RODOLFO VALENZUELA PARDO,PNL,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,6,MIGUEL ULISES SANZANA VILLABLANCA,PSC,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,7,JOSÉ ISAFOR BRAVO BURGOS,IND,,,
23,REGIÓN DE LA ARAUCANÍA,CAMBIO POR CHILE,8,JORGE ALEJANDRO SEPÚLVEDA ROSALES,PSC,,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,1,JAIME QUINTANA,PPD,,,1.0
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,2,JOSÉ MONTALVA,IND,PPD,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,3,ERICKA ÑANCO,FA,1,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,4,CHRISTIAN DULANSKY,FA,,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,5,PABLO DÍAZ,PDC,,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,6,CARLOS VALLEJOS,PDC,,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,7,CLAUDIA TAPIA,PS,,,
23,REGIÓN DE LA ARAUCANÍA,UNIDAD POR CHILE ,8,RAÚL ALLARD,PS,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,1,FLOR ROSSANY CONTRERAS VIVALLO,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,2,ORLANDO CHRISTIAN MACHEFERT INOSTROZA,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,3,CRISTIAN ALIRO MUÑOZ GARRIDO,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,4,HERNÁN GONZALO COÑOMAN LEPIMÁN,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,5,ROBINSON DARÍO ILLANES ACUÑA,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,6,JESSICA LORENA ANTILEF LINCOLAO,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,7,MARIA DELIA YAÑEZ BARRERA,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,PARTIDO DE LA GENTE ,8,AMÉRICO ARLÍN MUÑOZ BELTRÁN,PDG,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,1,NOEL CARMINE ROJAS,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,2,SYLVIA HURILEF BARRA,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,3,ALEJANDRA REYNOLDS CAVALLIERI,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,4,SOLEDAD BURGOS MARTÍNEZ,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,5,DENNIS JARAMILLO HOTT,AMARILLOS,,,
23,REGIÓN DE LA ARAUCANÍA,AMARILLOS,6,ÁNGEL CORTÉS IBARRA,AMARILLOS,,,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,1,GASTON VON MUHLENBROCK ZAMORA,UDI,,1.0,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,2,OMAR SABAT GUZMAN,IND,UDI,,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,3,ANN HUNTER GUTIERREZ,IND,UDI,,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,4,KARINA SILVA FERNANDEZ,RN,,,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,5,SYLVIA YUNGE WULF,RN,,,
24,REGIÓN DE LOS RÍOS,CHILE GRANDE Y UNIDO,6,DANIEL ELIAS VALENZUELA SALAZAR,IND,RN,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",1,CECILIA BRAVO MORAGA,FREVS,,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",2,MARIO MONTECINOS AROS,FREVS,,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",3,JOVA OPORTO VALENZUELA,FREVS,,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",4,YESSICA GAVILAN ROBLES,IND,FREVS,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",5,JUAN CARLOS ARAYA MARDONES,IND,FREVS,,
24,REGIÓN DE LOS RÍOS,"VERDES, REGIONALISTAS Y HUMANISTAS",6,PEDRO JAQUE CAVADA,IND,FREVS,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,1,TAMAR ANGÉLICA MUÑOZ SEPÚLVEDA,PSC,,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,2,JUAN CARLOS GÓMEZ GÓMEZ,PSC,,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,3,LUIS EDUARDO GAETE ÁLVAREZ,PNL,,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,4,DIANA MARITZA SILVA AGUILLON,PNL,,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,5,LEANDRO KUNSTMANN COLLADO,REP,,,
24,REGIÓN DE LOS RÍOS,CAMBIO POR CHILE,6,PAULINA HERNÁNDEZ VALDERRAMA,REP,,,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,1,ANA BRAVO,PS,1,1.0,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,2,MARCO ILABACA,PS,,1.0,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,3,MATÍAS FERNÁNDEZ,FA,,,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,4,WALDO DÍAZ,PDC,,,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,5,VANESSA HUAIQUIMILLA,IND,PPD,,
24,REGIÓN DE LOS RÍOS,UNIDAD POR CHILE ,6,LORENA SALDÍAS,PR,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,1,GERARDO EFRAIN LARA MARTÍNEZ,PDG,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,2,TABINA GABRIELA MANQUE MANQUE,PDG,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,3,FELIPE EMILIO ARANDA SARAVIA,PDG,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,4,ANDREA BURGOS VICUÑA,PDG,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,5,MARCELO MIGUEL FRANCO FRANCO,PDG,,,
24,REGIÓN DE LOS RÍOS,PARTIDO DE LA GENTE ,6,GERALDINA ARGELIA SOLÍS PÉREZ,PDG,,,
25,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,1,DANIEL LILAYU VIVANCO,UDI,,1.0,
25,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,2,RAMON BAHAMONDE CEA,IND,UDI,,
25,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,3,LORENA LEICHTLE BERTIN,RN,,,
25,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,4,MATIAS DOMEYKO PRIETO,IND,RN,,
25,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,5,JUANCLAUDIO GARCIA FILUN,EVOPOLI,,,
25,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",1,GUSTAVO LOBOS CONTRERAS,IND,FREVS,,
25,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",2,MANUEL RIVERA ALTAMIRANO,IND,FREVS,,
25,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",3,FLORA COLIPAI PAFIAN,FREVS,,,
25,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",4,CARLOS LIZANA MARDONES,IND,FREVS,,
25,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",5,PAMELA MANSILLA LAVADO,IND,FREVS,,
25,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,1,SEBASTIÁN CRISTI ALFONSO,PNL,,,
25,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,2,PAULINA ANDREA MUÑOZ MINTE,PNL,,,
25,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,3,JAIME PAREDES PAREDES,PSC,,,
25,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,4,KAREN BERRIOS GUERRA,REP,,,
25,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,5,ANDREA ITURRIAGA HEWSTONE,IND,,,
25,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,1,HÉCTOR BARRÍA,PDC,,1.0,
25,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,2,JAIME FIGUEROA,FA,,,
25,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,3,NATALY OYARZO,PL,,,
25,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,4,RAMÓN ESPINOZA SANDOVAL,IND,PPD,,
25,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,5,EMILIA NUYADO,PS,,1.0,
25,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,1,ISIDORO RODOLFO BARQUÍN PARDO,PDG,,,
25,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,2,MAURICE GOUDIE DOMÍNGUEZ,PDG,,,
25,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,3,ANGELICA ELIANA MANRÍQUEZ SANTIBÁÑEZ,PDG,,,
25,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,4,ERWIN DAVID PÉREZ MONJE,PDG,,,
25,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,5,SAMUEL DARÍO CÁRDENAS VIVAR,PDG,,,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,1,MAURO GONZALEZ VILLARROEL,RN,,1.0,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,2,JUAN EDUARDO VERA SANHUEZA,RN,,,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,3,LORETO KEMP OYARZUN,EVOPOLI,,,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,4,ALEJANDRO CAROCA MARAZZI,IND,EVOPOLI,,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,5,KATERINE MONTEALEGRE NAVARRO,UDI,,,
26,REGIÓN DE LOS LAGOS,CHILE GRANDE Y UNIDO,6,FERNANDO BORQUEZ MONTECINOS,UDI,,1.0,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",1,ADRIANA AMPUERO BARRIENTOS,IND,FREVS,,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",2,MARISOL ROSAS ALVARADO,FREVS,,,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",3,CLAUDIO TURRA GONZALEZ,IND,FREVS,,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",4,DANIELA QUEZADA SERON,FREVS,,,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",5,CLAUDIO CID JARA,FREVS,,,
26,REGIÓN DE LOS LAGOS,"VERDES, REGIONALISTAS Y HUMANISTAS",6,JUAN CARCAMO CARCAMO,IND,FREVS,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,1,CLAUDIA REYES LARENAS,REP,,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,2,CARLOS SEITZ ASPEE,REP,,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,3,MARÍA SOLEDAD LORCA SAU,PNL,,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,4,MARCELO ANDRÉS CASTILLO ALDUNATE,PNL,,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,5,MARCO ANTONIO MELO HERNÁNDEZ,PSC,,,
26,REGIÓN DE LOS LAGOS,CAMBIO POR CHILE,6,NATACHA ODETTE RIVAS MORALES,PSC,,,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,1,HÉCTOR ULLOA,IND,PPD,1.0,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,2,JAIME SÁEZ,FA,,1.0,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,3,HÉCTOR BALLESTEROS,PS,,,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,4,ALEXIS OSSES,PC,,,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,5,FEVE HUGO,PDC,,,
26,REGIÓN DE LOS LAGOS,UNIDAD POR CHILE ,6,ALEJANDRO BERNALES,PL,,1.0,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,1,ALEX MANUEL NAHUELQUÍN NAHUELQUÍN,PDG,,,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,2,LUIS ADRIÁN VARGAS MACHADO,PDG,,,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,3,ANDREA QUINTANA DIAZ,PDG,,,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,4,XIMENA ALEJANDRA URIBE CANOBRA,PDG,,,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,5,ALEXIS CRISTOBAL MALDONADO RAMOS,PDG,,,
26,REGIÓN DE LOS LAGOS,PARTIDO DE LA GENTE ,6,LUIS MARIANO CHODIL SOTO,PDG,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CHILE GRANDE Y UNIDO,1,MARCIA RAPHAEL MORA,RN,,1.0,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CHILE GRANDE Y UNIDO,2,ALEJANDRA VALDEBENITO TORRES,UDI,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CHILE GRANDE Y UNIDO,3,GUILLERMO PEREZ PACHECO,DEMOCRATAS,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CHILE GRANDE Y UNIDO,4,GEOCONDA NAVARRETE ARRATIA,EVOPOLI,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"VERDES, REGIONALISTAS Y HUMANISTAS",1,RENE ALINCO BUSTOS,IND,FREVS,1.0,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"VERDES, REGIONALISTAS Y HUMANISTAS",2,SERGIO GONZALEZ BORQUEZ,IND,FREVS,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"VERDES, REGIONALISTAS Y HUMANISTAS",3,DANIELA OLAVARRIA MOREIRA,IND,FREVS,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"VERDES, REGIONALISTAS Y HUMANISTAS",4,BORIS ROMERO BELLO,IND,FREVS,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAMBIO POR CHILE,1,CARLOS ALBERTO MELLA ATTON,PNL,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAMBIO POR CHILE,2,CRISTIAN PEDRO BORQUEZ ACUÑA,PNL,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAMBIO POR CHILE,3,JORGE ALEJANDRO PÉREZ URRA,PSC,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAMBIO POR CHILE,4,JAIME ARTURO CEBALLOS VERGARA,REP,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,UNIDAD POR CHILE ,1,ANDREA MACÍAS,PS,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,UNIDAD POR CHILE ,2,ROMINA CEJAS,FA,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,UNIDAD POR CHILE ,3,LUPERCIANO MUÑOZ,IND,PR,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,UNIDAD POR CHILE ,4,PATRICIO AYLWIN,PDC,,,
27,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,PARTIDO DE LA GENTE ,1,KARIN PAMELA CONTRERAS MURTSCHWA,PDG,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CHILE GRANDE Y UNIDO,1,RICARDO HERNANDEZ CREMASCHI,EVOPOLI,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CHILE GRANDE Y UNIDO,2,JENNIFFER ROJAS GARCIA,RN,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CHILE GRANDE Y UNIDO,3,GRACIELA ANDRADE PACHECO,IND,UDI,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CHILE GRANDE Y UNIDO,4,CHRISTIAN MATHESON VILLAN,IND,UDI,1.0,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,PARTIDO DE LA GENTE ,1,ABEL ALEJANDRO FERNÁNDEZ TRAIPE,PDG,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,PARTIDO DE LA GENTE ,2,ALEJANDRA ELIZABETH TORO ABELLO,PDG,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,PARTIDO DE LA GENTE ,3,ROBERTO SAHR DOMIAN,PDG,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"VERDES, REGIONALISTAS Y HUMANISTAS",1,RODRIGO UTZ CONTRERAS,IND,FREVS,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"VERDES, REGIONALISTAS Y HUMANISTAS",2,THOMAS LORCA ALMONACID,FREVS,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,"VERDES, REGIONALISTAS Y HUMANISTAS",3,ROSA GARAY MATAMALA,IND,FREVS,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CAMBIO POR CHILE,1,ALEJANDRO RIQUELME DUCCI,REP,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CAMBIO POR CHILE,2,JUAN JOSÉ SRDANOVIC ARCOS,IND,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CAMBIO POR CHILE,3,JAVIERA CRISTINA CALVO RIFO,PSC,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,CAMBIO POR CHILE,4,RAMÓN ALBERTO AGUILAR TOBAR,PNL,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,UNIDAD POR CHILE ,1,JAVIERA MORALES,FA,,1.0,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,UNIDAD POR CHILE ,2,VERÓNICA AGUILAR,IND,PR,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,UNIDAD POR CHILE ,3,IVANIA SALINAS,PC,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,UNIDAD POR CHILE ,4,PABLO BUSSENIUS,PS,,,
28,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,INDEPENDIENTE ,1,CARLOS BIANCHI,IND,,1.0,
